大分類名,工種名,細別名,基本歩掛名,所要日数作業単位_数量,所要日数作業単位_単位,歩掛作業単位_数量,歩掛作業単位_単位,名称,規格,単位,数量,摘要
仮設工,ウエルポイント工,ウエルポイントポンプ運転管理,,,,1,日,諸雑費,,式,1,
仮設工,ウエルポイント工,ウエルポイント工損料一式当り,,,,,,ウエルポイントポンプ 損料(供用1日当り),,日,,供用1箇月当り損料/30
仮設工,ウエルポイント工,ウエルポイント工損料一式当り,,,,,,ウェルポイント 損料(1現場当り),,本,,供用1箇月当り損料/30 ×使用本数
仮設工,ウエルポイント工,ウエルポイント工損料一式当り,,,,,,ウェルボトット 損料(供用1日当り),,日,,供用1箇月当り損料/30
仮設工,ウエルポイント工,ウエルポイント工損料一式当り,,,,,,放流パイプ 損料(1現場当り),,m,,供用1箇月当り損料/30 ×使用延長
仮設工,ウエルポイント工,ウエルポイント工損料一式当り,,,,,,諸雑費,,式,1,
仮設工,ウエルポイント工,ジェット装置損料一式当り,,,,,,ジェット装置 損料(供用1日当り),,日,,供用1箇月当り損料/30
仮設工,ウエルポイント工,ジェット装置損料一式当り,,,,,,ジェット装置 損料(供用1日当り),,日,,供用1箇月当り損料/30
仮設工,ウエルポイント工,ジェット装置損料一式当り,,,,,,スターカッター 損料(供用1日当り),,個,1,
仮設工,ウエルポイント工,ジェット装置損料一式当り,,,,,,諸雑費,,式,1,
仮設工,大型土のう工,大型土のう製作・設置 (バックホウ設置),,,,10,袋,土木一般世話役,,人,$1\times10/D$,"表4.1,表4.2"
仮設工,大型土のう工,大型土のう製作・設置 (バックホウ設置),,,,10,袋,特殊作業員,,人,$1\times10/D$,
仮設工,大型土のう工,大型土のう製作・設置 (バックホウ設置),,,,10,袋,普通作業員,,人,$1\times10/D$,
仮設工,大型土のう工,大型土のう製作・設置 (バックホウ設置),,,,10,袋,大型土のう,容量1m³,袋,10,
仮設工,大型土のう工,大型土のう製作・設置 (バックホウ設置),,,,10,袋,土砂,,m³,10,
仮設工,大型土のう工,大型土のう製作・設置 (バックホウ設置),,,,10,袋,バックホウ (クローラ型) 運転,後方超小旋回型 超低騒音型・クレーン機能付き・排出ガス対策型 (2014年規制) 山積0.45m³(平積0.35m²)吊能力2.9t,日,10/D,表4.2 機械賃料
仮設工,大型土のう工,大型土のう製作・設置 (バックホウ設置),,,,10,袋,諸雑費,,式,1,表4.3
仮設工,大型土のう工,大型土のう製作・設置 (ラフテレーンクレーン設置),,,,10,袋,土木一般世話役,,人,$1\times10/D$,"表4.1,表4.2"
仮設工,大型土のう工,大型土のう製作・設置 (ラフテレーンクレーン設置),,,,10,袋,特殊作業員,,人,$1\times10/D$,
仮設工,大型土のう工,大型土のう製作・設置 (ラフテレーンクレーン設置),,,,10,袋,普通作業員,,人,$1\times10/D$,
仮設工,大型土のう工,大型土のう製作・設置 (ラフテレーンクレーン設置),,,,10,袋,大型土のう,容量1m³,袋,10,
仮設工,大型土のう工,大型土のう製作・設置 (ラフテレーンクレーン設置),,,,10,袋,土砂,,m³,10,
仮設工,大型土のう工,大型土のう製作・設置 (ラフテレーンクレーン設置),,,,10,袋,バックホウ (クローラ型) 運転,後方超小旋回型 超低騒音型・クレーン機能付き・排出ガス対策型 (2014年規制) 山積0.45m³(平積0.35m²)吊能力2.9t,日,10/D,表4.2 機械賃料
仮設工,大型土のう工,大型土のう製作・設置 (ラフテレーンクレーン設置),,,,10,袋,ラフテレーンクレーン運転,油圧伸縮ジブ型 排出ガス対策型(第3次基準値) 25t吊,日,10/D,表4.2 機械賃料
仮設工,大型土のう工,大型土のう製作・設置 (ラフテレーンクレーン設置),,,,10,袋,諸雑費,,式,1,表4.3
仮設工,大型土のう工,大型土のう製作,,,,10,袋,土木一般世話役,,人,$1\times10/D$,"表4.1,表4.2"
仮設工,大型土のう工,大型土のう製作,,,,10,袋,特殊作業員,,人,$1\times10/D$,
仮設工,大型土のう工,大型土のう製作,,,,10,袋,普通作業員,,人,$1\times10/D$,
仮設工,大型土のう工,大型土のう製作,,,,10,袋,大型土のう,容量1m³,袋,10,
仮設工,大型土のう工,大型土のう製作,,,,10,袋,土砂,,m³,10,
仮設工,大型土のう工,大型土のう製作,,,,10,袋,バックホウ (クローラ型)運転,"後方超小旋回型,超低騒音型・クレーン機能付き・排出ガス対策型 (2014年規制) 山積0.45m³(平積0.35m²)吊能力2.9t",日,10/D,表4.2 機械賃料
仮設工,大型土のう工,大型土のう製作,,,,10,袋,諸雑費,,式,1,表4.3
仮設工,大型土のう工,大型土のう設置 (再設置含む),,,,10,袋,土木一般世話役,,人,$1\times10/D$,"表4.1,表4.2"
仮設工,大型土のう工,大型土のう設置 (再設置含む),,,,10,袋,特殊作業員,,人,$1\times10/D$,
仮設工,大型土のう工,大型土のう設置 (再設置含む),,,,10,袋,普通作業員,,人,$1\times10/D$,
仮設工,大型土のう工,大型土のう設置 (再設置含む),,,,10,袋,バックホウ (クローラ型) 運転,標準型・超低騒音型・クレーン機能付き・排出ガス対策型(2014年規制) 山積0.8m³(平積0.6m²)吊能力2.9t,日,10/D,表4.2 機械賃料 (注)2
仮設工,大型土のう工,大型土のう設置 (再設置含む),,,,10,袋,ラフテレーンクレーン運転,油圧伸縮ジブ型 排出ガス対策型(第3次基準値) 25t吊,日,10/D,表4.2 機械賃料 (注)2
仮設工,大型土のう工,大型土のう設置 (再設置含む),,,,10,袋,諸雑費,,式,1,表4.3
仮設工,大型土のう工,大型土のう撤去,,,,10,袋,土木一般世話役,,人,$1\times10/D$,"表4.1,表4.2"
仮設工,大型土のう工,大型土のう撤去,,,,10,袋,特殊作業員,,人,$1\times10/D$,
仮設工,大型土のう工,大型土のう撤去,,,,10,袋,バックホウ (クローラ型)運転,標準型・超低騒音型・クレーン機能付き・排出ガス対策型(2014年規制) 山積0.8m³(平積0.6m²) 吊能力2.9t,日,10/D,表4.2 機械賃料 (注)2
仮設工,大型土のう工,大型土のう撤去,,,,10,袋,ラフテレーンクレーン運転,油圧伸縮ジブ型 排出ガス対策型(第3次基準値) 25t吊,日,10/D,表4.2 機械賃料 (注)2
仮設工,大型土のう工,大型土のう撤去,,,,10,袋,諸雑費,,式,1,表4.3
仮設工,大型土のう工,大型土のう撤去 (再利用),,,,10,袋,土木一般世話役,,人,$1\times10/D$,"表4.1,表4.2"
仮設工,大型土のう工,大型土のう撤去 (再利用),,,,10,袋,特殊作業員,,人,$1\times10/D$,
仮設工,大型土のう工,大型土のう撤去 (再利用),,,,10,袋,バックホウ (クローラ型)運転,標準型 超低騒音型・クレーン機能付き・排出ガス対策型(2014年規制) 山積0.8m³(平積0.6m²)吊能力2.9t,日,10/D,表4.2 機械賃料 (注)2
仮設工,大型土のう工,大型土のう撤去 (再利用),,,,10,袋,ラフテレーンクレーン運転,油圧伸縮ジブ型 排出ガス対策型(第3次基準値) 25t吊,日,10/D,表4.2 機械賃料 (注)2
仮設工,大型土のう工,大型土のう撤去 (再利用),,,,10,袋,諸雑費,,式,1,表4.3
仮設工,大型土のう工,大型土のう移設 (撤去・再設置),,,,10,袋,土木一般世話役,,人,$1\times10/D$,"表4.1,表4.2"
仮設工,大型土のう工,大型土のう移設 (撤去・再設置),,,,10,袋,特殊作業員,,人,$1\times10/D$,
仮設工,大型土のう工,大型土のう移設 (撤去・再設置),,,,10,袋,普通作業員,,人,$1\times10/D$,
仮設工,大型土のう工,大型土のう移設 (撤去・再設置),,,,10,袋,バックホウ (クローラ型)運転,標準型・超低騒音型・クレーン機能付き・排出ガス対策型(2014年規制) 山積0.8m³(平積0.6m²)吊能力2.9t,日,10/D,表4.2 機械賃料 (注)2
仮設工,大型土のう工,大型土のう移設 (撤去・再設置),,,,10,袋,ラフテレーンクレーン運転,油圧伸縮ジブ型 排出ガス対策型(第3次基準値) 25t吊,日,10/D,表4.2 機械賃料 (注)2
仮設工,大型土のう工,大型土のう移設 (撤去・再設置),,,,10,袋,諸雑費,,式,1,表4.3
仮設工,仮橋・仮桟橋工,架設・撤去工,,,,10,t,橋りょう世話役,,人,表4.1,
仮設工,仮橋・仮桟橋工,架設・撤去工,,,,10,t,橋りょう特殊工,,人,表4.1,
仮設工,仮橋・仮桟橋工,架設・撤去工,,,,10,t,溶接工,,人,表4.1,
仮設工,仮橋・仮桟橋工,架設・撤去工,,,,10,t,普通作業員,,人,表4.1,
仮設工,仮橋・仮桟橋工,架設・撤去工,,,,10,t,ラフテレーンクレーン又はクローラクレーン運転,○○t吊,日,表3.1 表4.1,ラフテレーンクレーンは機械賃料 クローラクレーンは機械損料
仮設工,仮橋・仮桟橋工,架設・撤去工,,,,10,t,諸雑費,,式,1,表4.1
仮設工,仮橋・仮桟橋工,覆工板設置・撤去工,,,,100,m²,土木一般世話役,,人,表4.2,
仮設工,仮橋・仮桟橋工,覆工板設置・撤去工,,,,100,m²,とび工,,人,表4.2,
仮設工,仮橋・仮桟橋工,覆工板設置・撤去工,,,,100,m²,普通作業員,,人,表4.2,
仮設工,仮橋・仮桟橋工,覆工板設置・撤去工,,,,100,m²,ラフテレーンクレーン又はクローラクレーン運転,○○t吊,日,表3.1.表4.2,ラフテレーンクレーンは機械賃料 クローラクレーンは機械損料
仮設工,仮橋・仮桟橋工,覆工板設置・撤去工,,,,100,m²,諸雑費,,式,1,表4.2
仮設工,仮橋・仮桟橋工,高欄設置・撤去工,,,,100,m,土木一般世話役,,人,表4.3,
仮設工,仮橋・仮桟橋工,高欄設置・撤去工,,,,100,m,とび工,,人,表4.3,
仮設工,仮橋・仮桟橋工,高欄設置・撤去工,,,,100,m,普通作業員,,人,表4.3,
仮設工,仮橋・仮桟橋工,高欄設置・撤去工,,,,100,m,ラフテレーンクレーン又はクローラクレーン運転,○○t吊,日,"表3.1,表4.3",ラフテレーンクレーンは機械賃料 クローラクレーンは機械損料
仮設工,仮橋・仮桟橋工,高欄設置・撤去工,,,,100,m,諸雑費,,式,1,表4.3
仮設工,仮橋・仮桟橋工,橋脚設置・撤去工(直接基礎形式),,,,10,t,橋りょう世話役,,人,表4.4,
仮設工,仮橋・仮桟橋工,橋脚設置・撤去工(直接基礎形式),,,,10,t,橋りょう特殊工,,人,表4.4,
仮設工,仮橋・仮桟橋工,橋脚設置・撤去工(直接基礎形式),,,,10,t,溶接工,,人,表4.4,
仮設工,仮橋・仮桟橋工,橋脚設置・撤去工(直接基礎形式),,,,10,t,普通作業員,,人,表4.4,
仮設工,仮橋・仮桟橋工,橋脚設置・撤去工(直接基礎形式),,,,10,t,ラフテレーンクレーン運転,○○t吊,日,"表3.1,表4.4",機械賃料
仮設工,仮橋・仮桟橋工,橋脚設置・撤去工(直接基礎形式),,,,10,t,諸雑費,,式,1,表4.4
仮設工,仮橋・仮桟橋工,杭橋脚設置・撤去工(杭基礎形式),,,,10,t,橋りょう世話役,,人,表4.14,
仮設工,仮橋・仮桟橋工,杭橋脚設置・撤去工(杭基礎形式),,,,10,t,橋りょう特殊工,,人,表4.14,
仮設工,仮橋・仮桟橋工,杭橋脚設置・撤去工(杭基礎形式),,,,10,t,溶接工,,人,表4.14,
仮設工,仮橋・仮桟橋工,杭橋脚設置・撤去工(杭基礎形式),,,,10,t,普通作業員,,人,表4.14,
仮設工,仮橋・仮桟橋工,杭橋脚設置・撤去工(杭基礎形式),,,,10,t,クローラクレーン運転,○○t吊,日,"表3.1,表4.14",機械損料
仮設工,仮橋・仮桟橋工,杭橋脚設置・撤去工(杭基礎形式),,,,10,t,諸雑費,,式,1,表4.14
仮設工,仮橋・仮桟橋工,導枠設置・撤去工 杭橋脚打込,,,,10,本,土木一般世話役,,人,表4.15,
仮設工,仮橋・仮桟橋工,導枠設置・撤去工 杭橋脚打込,,,,10,本,とび工,,人,表4.15,
仮設工,仮橋・仮桟橋工,導枠設置・撤去工 杭橋脚打込,,,,10,本,普通作業員,,人,表4.15,
仮設工,仮橋・仮桟橋工,導枠設置・撤去工 杭橋脚打込,,,,10,本,クローラクレーン運転,○○t吊,日,"表3.1,表4.15",機械損料
仮設工,仮橋・仮桟橋工,導枠設置・撤去工 杭橋脚打込,,,,10,本,諸雑費,,式,1,表4.15
仮設工,仮橋・仮桟橋工,"バイブロハンマ施工によるH形鋼の打込み又は引抜き (H形鋼打込,又は引抜長○○m)",,,,10,本,土木一般世話役,,人,$10/N\times1$,表4.9~表4.12
仮設工,仮橋・仮桟橋工,"バイブロハンマ施工によるH形鋼の打込み又は引抜き (H形鋼打込,又は引抜長○○m)",,,,10,本,とび工,,人,$10/N\times2$,
仮設工,仮橋・仮桟橋工,"バイブロハンマ施工によるH形鋼の打込み又は引抜き (H形鋼打込,又は引抜長○○m)",,,,10,本,普通作業員,,人,$10/N\times1$,
仮設工,仮橋・仮桟橋工,"バイブロハンマ施工によるH形鋼の打込み又は引抜き (H形鋼打込,又は引抜長○○m)",,,,10,本,バイブロハンマ杭打機運転,,日,$10/N$,"表4.5,表4.8,表4.10~表4.12 機械損料"
仮設工,仮橋・仮桟橋工,"バイブロハンマ施工によるH形鋼の打込み又は引抜き (H形鋼打込,又は引抜長○○m)",,,,10,本,諸雑費,,式,1,表4.13
仮設工,仮橋・仮桟橋工,バイブロハンマとウォータジェット併用施工によるH形鋼の打込み (H形鋼打込長○○m),,,,10,本,土木一般世話役,,人,$10/N\times1$,表4.9~表4.12
仮設工,仮橋・仮桟橋工,バイブロハンマとウォータジェット併用施工によるH形鋼の打込み (H形鋼打込長○○m),,,,10,本,とび工,,人,$10/N\times2$,
仮設工,仮橋・仮桟橋工,バイブロハンマとウォータジェット併用施工によるH形鋼の打込み (H形鋼打込長○○m),,,,10,本,特殊作業員,,人,$10/N\times1$,
仮設工,仮橋・仮桟橋工,バイブロハンマとウォータジェット併用施工によるH形鋼の打込み (H形鋼打込長○○m),,,,10,本,普通作業員,,人,$10/N\times1$,
仮設工,仮橋・仮桟橋工,バイブロハンマとウォータジェット併用施工によるH形鋼の打込み (H形鋼打込長○○m),,,,10,本,バイブロハンマ杭打機運転,,日,$10/N$,"表4.5,表4.8,表4.10~表4.12 機械損料"
仮設工,仮橋・仮桟橋工,バイブロハンマとウォータジェット併用施工によるH形鋼の打込み (H形鋼打込長○○m),,,,10,本,杭打ち用ウォータジェット運転,エンジン式 第3次基準値) 吐出量325ℓ/min,日,$10/N\times1/10Hr$,"表4.5,表4.10~表4.12 機械損料"
仮設工,仮橋・仮桟橋工,バイブロハンマとウォータジェット併用施工によるH形鋼の打込み (H形鋼打込長○○m),,,,10,本,諸雑費,,式,1,表4.13
仮設工,汚濁防止フェンス工,汚濁防止フェンス設置・撤去,,,,100,m,土木一般世話役,,人,表4.1,
仮設工,汚濁防止フェンス工,汚濁防止フェンス設置・撤去,,,,100,m,普通作業員,,人,表4.1,
仮設工,汚濁防止フェンス工,汚濁防止フェンス設置・撤去,,,,100,m,バックホウ(クローラ型)運転,標準型・クレーン機能付・排出ガス対策型(2014年規制) 山積0.8m³(平積0.6m²)吊能力2.9t,日,表4.1,機械賃料
仮設工,汚濁防止フェンス工,汚濁防止フェンス設置・撤去,,,,100,m,諸雑費,,式,1,表4.1
仮設工,仮囲い設置・撤去工 仮囲い設置・撤去工,仮囲い設置及び撤去,,,,10,m,土木一般世話役,,人,$1\times10/D$,"表3.1,表4.1"
仮設工,仮囲い設置・撤去工 仮囲い設置・撤去工,仮囲い設置及び撤去,,,,10,m,普通作業員,,人,$5\times10/D$,
仮設工,仮囲い設置・撤去工 仮囲い設置・撤去工,仮囲い設置及び撤去,,,,10,m,仮設材損料,供用日,日,,
仮設工,仮囲い設置・撤去工 仮囲い設置・撤去工,仮囲い設置及び撤去,,,,10,m,諸雑費,,式,1,表5.1
仮設工,仮囲い設置・撤去工 雪寒仮囲い工,仮囲い設置・撤去 (Pタイプ),,,,100,m²,土木一般世話役,,人,表4.1,
仮設工,仮囲い設置・撤去工 雪寒仮囲い工,仮囲い設置・撤去 (Pタイプ),,,,100,m²,普通作業員,,人,表4.1,
仮設工,仮囲い設置・撤去工 雪寒仮囲い工,仮囲い設置・撤去 (Pタイプ),,,,100,m²,バックホウ (クローラ型)運転,標準型・超低騒音型。クレーン機能付き・排出ガス対策型 (2011年規制) 山積0.8m³(平積0.6m²) 吊能力2.9t,日,"表3.2,表4.1",機械賃料
仮設工,仮囲い設置・撤去工 雪寒仮囲い工,仮囲い設置・撤去 (Pタイプ),,,,100,m²,諸雑費,,式,1,
仮設工,仮囲い設置・撤去工 雪寒仮囲い工,仮囲い (Pタイプ),,,,1,m²,仮設材賃料,手摺先行型枠組足場,月,,表4.3
仮設工,仮囲い設置・撤去工 雪寒仮囲い工,仮囲い (Pタイプ),,,,1,m²,諸雑費,,式,1,
仮設工,仮囲い設置・撤去工 雪寒仮囲い工,仮囲い設置・撤去(W・PWタイプ),,,,100,m²,土木一般世話役,,人,表4.2,
仮設工,仮囲い設置・撤去工 雪寒仮囲い工,仮囲い設置・撤去(W・PWタイプ),,,,100,m²,とび工,,人,表4.2,
仮設工,仮囲い設置・撤去工 雪寒仮囲い工,仮囲い設置・撤去(W・PWタイプ),,,,100,m²,普通作業員,,人,表4.2,
仮設工,仮囲い設置・撤去工 雪寒仮囲い工,仮囲い設置・撤去(W・PWタイプ),,,,100,m²,ラフテレーンクレーン運転,油圧伸縮ジブ型 排出ガス対策型 (2014年規制) 25t吊,日,表3.2.表4.2,機械賃料
仮設工,仮囲い設置・撤去工 雪寒仮囲い工,仮囲い設置・撤去(W・PWタイプ),,,,100,m²,諸雑費,,式,1,
仮設工,仮囲い設置・撤去工 雪寒仮囲い工,仮囲い (W・PWタイプ),,,,1,m²,仮設材賃料,手摺先行型枠組足場,月,,表4.3
仮設工,仮囲い設置・撤去工 雪寒仮囲い工,仮囲い (W・PWタイプ),,,,1,m²,諸雑費,,式,1,
仮設工,仮囲い設置・撤去工 雪寒仮囲い工,特殊養生工(仮囲い内ジェットヒータ養生),,,,10,m³,普通作業員,,人,表5.1,
仮設工,仮囲い設置・撤去工 雪寒仮囲い工,特殊養生工(仮囲い内ジェットヒータ養生),,,,10,m³,業務用可搬型ヒータ [ジェットヒータ]運転,"油だき・熱風・直火型 熱出力126MJ/h (30,100kcal/h)",日,表5.1,機械賃料
仮設工,仮囲い設置・撤去工 雪寒仮囲い工,特殊養生工(仮囲い内ジェットヒータ養生),,,,10,m³,発動発電機運転,ディーゼルエンジン駆動 定格容量 5kVA,日,表5.1,機械賃料
仮設工,仮囲い設置・撤去工 雪寒仮囲い工,特殊養生工(仮囲い内ジェットヒータ養生),,,,10,m³,諸雑費,,式,1,
仮設工,仮囲い設置・撤去工 雪寒仮囲い工,除雪工(仮囲い屋根部),,,,10,m²,普通作業員,,人,表6.1,
仮設工,仮囲い設置・撤去工 雪寒仮囲い工,除雪工(仮囲い屋根部),,,,10,m²,諸雑費,,式,1,
河川海岸,消波工,捨石材料,,,,1,m,名称,捨 石,m,,表3.4
河川海岸,消波工,捨石材料,,,,1,m,名称,諸 費,式,1,
河川海岸,消波工,捨石材料,,,,1,m,名称,計,,,","
河川海岸,消波工,捨石均し,,,,1,m,名称,潜水 士船運 転,D 180PS型 3~5t吊 4.9GT,日,"$\frac{1}{Q_{1}}$,表3.3"
河川海岸,消波工,捨石均し,,,,1,m,名称,諸 雑 費,式,1,
河川海岸,消波工,捨石均し,,,,1,m,名称,計,,,","
河川海岸,消波工,ブロック (実質量○○t) 製作,,,,10,個,名称,土木一般世話役,人,(表4.5)×A/100×10 +(表4.6)×V/100×10,
河川海岸,消波工,ブロック (実質量○○t) 製作,,,,10,個,名称,特殊 作業 員,"\"",(表4.5)×A/100×10 +(表4.6)×V/100×10",,
河川海岸,消波工,ブロック (実質量○○t) 製作,,,,10,個,名称,普通作業 員,"\"",(表4.5)×A/100×10 +(表4.6)×V/100×10 +(表4.7)×V/100×10",,
河川海岸,消波工,ブロック (実質量○○t) 製作,,,,10,個,名称,生コンクリート,m,,表4.8
河川海岸,消波工,ブロック (実質量○○t) 製作,,,,10,個,名称,鉄 筋),,,
河川海岸,消波工,ブロック (実質量○○t) 製作,,,,10,個,名称,ラフテレーンクレーン,油圧伸縮ジブ型 低騒音型 排出ガス対策型 (第1次基準値) 25t吊,日,"(表4.5)×A/100×10 +(表4.6)×V/100×10,機械賃料"
河川海岸,消波工,ブロック (実質量○○t) 製作,,,,10,個,名称,型 枠,m,,
河川海岸,消波工,ブロック (実質量○○t) 製作,,,,10,個,名称,諸 雜費,式,1,表4.9
河川海岸,消波工,ブロック (実質量○○t) 製作,,,,10,個,名称,計,,,","
河川海岸,消波工,ブロック(実質量○○t) 横取り,,,,10,個,名称,土木一般世話役,,人,"$\frac{10}{Q_{Cl}}\times1$,"
河川海岸,消波工,ブロック(実質量○○t) 横取り,,,,10,個,名称,特殊作業員,17,$\frac{10}{Q_{c1}}\times1$,Q: 日当り作業個数(個/日)表4.10
河川海岸,消波工,ブロック(実質量○○t) 横取り,,,,10,個,名称,普通作業員,11,$\frac{10}{Q_{cl}}\times1$,編成人員:表4.11
河川海岸,消波工,ブロック(実質量○○t) 横取り,,,,10,個,名称,クロー ラ クレーン運転,油圧駆動ウインチ・ラチスジ 型 排出ガス対策型(第1 日 次基準値) 100t吊,,"$\frac{10}{Q_{c1}}$,クローラクレーン: 機械賃料"
河川海岸,消波工,ブロック(実質量○○t) 横取り,,,,10,個,名称,諸雑費,式,1,表4.12
河川海岸,消波工,ブロック(実質量○○t) 横取り,,,,10,個,名称,計,,,","
河川海岸,消波工,ブロック積込み・運搬・据付け,,,,10,個,名称,土木一般世話役,人,$\frac{10}{Q_{2}}\times1$,表4.13
河川海岸,消波工,ブロック積込み・運搬・据付け,,,,10,個,名称,特殊作業員,31,$\frac{10}{Q_{2}}\times1$,11
河川海岸,消波工,ブロック積込み・運搬・据付け,,,,10,個,名称,運転手(特殊),11,$\frac{10}{Q_{2}}\times1$,11
河川海岸,消波工,ブロック積込み・運搬・据付け,,,,10,個,名称,普通作業員,,$\frac{10}{Q_{2}}\times1$,"\"" 河川海岸 消波工"", ブロック積込み・運搬・据付け10個当り ,名称,クレーン付台船又は 起重機船運転,日,10, 又は機6 機械損料"
河川海岸,消波工,ブロック積込み・運搬・据付け,,,,10,個,名称,引船運転,31,10 Q,機1
河川海岸,消波工,ブロック積込み・運搬・据付け,,,,10,個,名称,潜水士船運転,D 180PS型 3~5t吊 4.9GT,31,"10 Q, 水中設置の場合に計上 機械損料"
河川海岸,消波工,ブロック積込み・運搬・据付け,,,,10,個,名称,諸 費,式,1,表4.17
河川海岸,消波工,ブロック積込み・運搬・据付け,,,,10,個,名称,計,,,","
河川海岸,消波工,クレーン付台船運転,,,,1,日,名称,高級 船員,人,1,表4.14
河川海岸,消波工,クレーン付台船運転,,,,1,日,名称,普通 船,11,2,11
河川海岸,消波工,クレーン付台船運転,,,,1,日,名称,燃 料 費,軽油,0,45~50t吊→108 80t吊→172 100t吊→206
河川海岸,消波工,クレーン付台船運転,,,,1,日,名称,クローラクレーン,供用日,1.91,機械損料
河川海岸,消波工,クレーン付台船運転,,,,1,日,名称,台 船,11,1.91,
河川海岸,消波工,クレーン付台船運転,,,,1,日,名称,諸 雑 費,式,1,
河川海岸,消波工,クレーン付台船運転,,,,1,日,名称,計,,,","
河川海岸,消波工,潜水士船運転,,,,1,日,名称,高級 船 員,人,1,表3.2又は表4.16
河川海岸,消波工,潜水士船運転,,,,1,日,名称,潜水 士,,1,11
河川海岸,消波工,潜水士船運転,,,,1,日,名称,潜水連絡 員,11,1,
河川海岸,消波工,潜水士船運転,,,,1,日,名称,燃料費,軽油,,捨石均し工 145 ブロック据付工10
河川海岸,消波工,潜水士船運転,,,,1,日,名称,潜水 士 船,D 180PS型 3~5t吊 4.9GT,供用日,"1.91,機械損料"
河川海岸,消波工,潜水士船運転,,,,1,日,名称,諸 雑 費,式,1,
河川海岸,消波工,潜水士船運転,,,,1,日,名称,計,,,","
河川海岸,消波工,退避費(引船),,,,1,日,名称,燃 料 費,重油,0,",5"
河川海岸,消波工,退避費(引船),,,,1,日,名称,引 船,供用日,1.91,機械損料
河川海岸,消波工,退避費(引船),,,,1,日,名称,諸 雑 費,式,I,
河川海岸,消波工,退避費(引船),,,,1,日,名称,計,,,","
河川海岸,消波工,回航又はえい航運転費(引船),,,,1,日,名称,高級 船 員,人,,5 表4.15
河川海岸,消波工,回航又はえい航運転費(引船),,,,1,日,名称,燃 料 費,重油,,5
河川海岸,消波工,回航又はえい航運転費(引船),,,,1,日,名称,引 船,供用日,,5 機械損料
河川海岸,消波工,回航又はえい航運転費(引船),,,,1,日,名称,諸 雑 費,式,1,
河川海岸,消波工,回航又はえい航運転費(引船),,,,1,日,名称,計,,,","
河川海岸,浚渫工バックホウ浚渫船,バックホウ浚渫船 (○○m²) 運転,,,,1,日,名称,高級 船員,人,1,表4.3
河川海岸,浚渫工バックホウ浚渫船,バックホウ浚渫船 (○○m²) 運転,,,,1,日,名称,普通 船員,"\"",2",,
河川海岸,浚渫工バックホウ浚渫船,バックホウ浚渫船 (○○m²) 運転,,,,1,日,名称,運転手(特殊),11,,
河川海岸,浚渫工バックホウ浚渫船,バックホウ浚渫船 (○○m²) 運転,,,,1,日,名称,バックホウ 浚渫船運転,D 0m²,日,"1,機械損料"
河川海岸,浚渫工バックホウ浚渫船,バックホウ浚渫船 (○○m²) 運転,,,,1,日,名称,汚濁 防止 枠,供用日,1.53,必要に応じて計上 機械損料
河川海岸,浚渫工バックホウ浚渫船,バックホウ浚渫船 (○○m²) 運転,,,,1,日,名称,諸 雑 費,式,1,
河川海岸,浚渫工バックホウ浚渫船,バックホウ浚渫船 (○○m²) 運転,,,,1,日,名称,計,,,","
河川海岸,浚渫工バックホウ浚渫船,船費,,,,1,日,名称,高級 船員,人,1,表4.3
河川海岸,浚渫工バックホウ浚渫船,船費,,,,1,日,名称,普通 船員,,2,
河川海岸,浚渫工バックホウ浚渫船,船費,,,,1,日,名称,運転手(特殊),"\"",1",11,
河川海岸,浚渫工バックホウ浚渫船,船費,,,,1,日,名称,諸 雑 費,式,1,
河川海岸,浚渫工バックホウ浚渫船,船費,,,,1,日,名称,計,,,","
河川海岸,浚渫工バックホウ浚渫船,土運船(○○○m²積) 運転,,,,1,日,名称,高級 船 員,人,,表4.7
河川海岸,浚渫工バックホウ浚渫船,土運船(○○○m²積) 運転,,,,1,日,名称,普通 船 員,11,,
河川海岸,浚渫工バックホウ浚渫船,土運船(○○○m²積) 運転,,,,1,日,名称,引 船運 転,鋼製D ○○○PS型 OOGT,日,",表4.6.表4.7"
河川海岸,浚渫工バックホウ浚渫船,土運船(○○○m²積) 運転,,,,1,日,名称,土 運 船,○○式○○○㎡積,供用日,",表4.6,表4.7 (注)2 【指定事項】 機械損料数量→1.52"
河川海岸,浚渫工バックホウ浚渫船,土運船(○○○m²積) 運転,,,,1,日,名称,諸 雑 費,式,1,
河川海岸,浚渫工バックホウ浚渫船,土運船(○○○m²積) 運転,,,,1,日,名称,計,,,","
河川海岸,浚渫工バックホウ浚渫船,浚渫土揚土,,,,1,日,名称,バックホウ (クローラ型)運転,標準型・排出ガス対策型(2011年規制) 山積1.4m²(平積1.0m³),日,",表4.8 機械損料"
河川海岸,浚渫工バックホウ浚渫船,浚渫土揚土,,,,1,日,名称,諸 雑費,式,1,
河川海岸,浚渫工バックホウ浚渫船,浚渫土揚土,,,,1,日,名称,計,,,","
河川海岸,浚渫工バックホウ浚渫船(ICT),バックホウ浚渫船 (ICT) (○○m²) 運転,,,,1,日,名称,高級 船員,人,1,表4.3
河川海岸,浚渫工バックホウ浚渫船(ICT),バックホウ浚渫船 (ICT) (○○m²) 運転,,,,1,日,名称,普通 船員,IT,2,
河川海岸,浚渫工バックホウ浚渫船(ICT),バックホウ浚渫船 (ICT) (○○m²) 運転,,,,1,日,名称,運転手(特殊),,1,
